AVL,RB,B ONE,B FIVE,B TEN
1,2,10,10,10
17,5,12,12,12
30,10,24,14,14
33,10,19,16,16
49,12,31,17,17
58,10,24,18,18
58,13,37,20,20
62,13,32,21,21
70,15,31,21,21
83,15,33,22,22
90,17,42,34,20
106,16,34,26,24
95,14,40,27,26
109,18,42,28,28
115,12,29,28,29
122,15,39,28,28
149,19,39,30,28
136,16,46,33,30
146,14,45,32,30
142,19,46,31,30
161,15,41,32,46
161,17,42,29,31
154,15,41,32,32
171,15,46,31,31
180,19,39,35,31
198,17,47,30,34
204,16,37,33,33
197,16,51,31,33
198,15,45,30,33
213,20,44,35,34
240,20,50,33,33
232,17,40,31,37
238,13,44,33,35
255,20,51,32,37
251,17,49,41,34
240,17,41,36,36
275,16,48,35,38
288,17,45,32,41
276,16,50,36,41
271,18,46,34,39
277,17,43,37,37
295,20,48,32,41
303,17,42,35,40
303,21,57,36,37
304,20,48,40,39
320,20,50,31,34
307,20,46,36,36
319,21,52,32,34
319,18,48,33,35
336,16,50,33,38
342,19,48,37,35
361,21,55,32,35
345,17,52,31,35
383,18,45,35,40
379,22,63,38,36
373,19,45,35,40
374,19,55,38,40
389,19,52,32,36
387,18,56,35,36
408,21,54,36,36
395,19,55,37,39
420,17,51,41,41
408,17,54,33,42
446,22,49,36,40
454,21,50,39,36
421,20,64,39,41
463,21,69,37,37
458,20,54,33,41
458,23,57,37,43
473,20,48,37,40
476,17,54,35,39
496,20,52,40,36
486,22,49,41,35
488,21,50,40,39
486,20,58,33,38
496,23,59,40,38
513,21,57,46,41
532,21,45,34,42
522,20,44,36,38
537,17,56,37,38
557,22,54,41,41
537,20,45,39,42
528,21,49,49,42
540,18,57,43,43
554,20,52,36,40
591,19,55,42,38
557,20,58,44,41
584,21,59,37,38
550,19,52,42,39
583,21,56,44,41
570,20,56,38,42
634,21,50,41,41
594,23,63,39,42
631,20,63,40,40
615,19,56,40,41
644,23,51,41,44
611,20,58,38,40
632,20,57,39,43
