AVL,RB,B ONE,B FIVE,B TEN
61529,36,125,73,72
62629,38,124,76,74
59737,36,122,78,76
61953,44,121,79,76
60026,36,117,77,76
59549,36,119,80,70
60768,35,123,78,77
58178,39,113,77,75
62886,36,112,77,74
59996,45,120,76,73
59560,38,134,78,77
63338,39,119,74,80
61477,39,116,79,76
61903,40,120,75,65
63225,43,119,74,72
60163,41,123,78,73
60102,41,122,80,76
62226,41,115,81,71
60107,43,120,80,73
59195,40,119,80,72
62184,44,104,80,74
64126,47,113,83,82
59108,37,118,82,75
60629,43,119,80,80
63125,41,120,74,79
61298,43,120,76,73
59725,40,118,76,80
61354,42,110,77,76
62002,42,112,80,78
61327,45,123,77,72
61669,42,115,71,72
62092,43,114,76,70
58486,49,113,80,74
61944,49,111,77,71
58977,43,119,85,74
60222,46,104,73,79
61837,44,116,75,72
58628,43,107,72,78
61920,44,108,74,72
59107,40,115,77,77
58836,45,103,77,76
59997,43,118,78,79
62242,44,117,77,69
61914,43,121,80,78
60230,40,115,82,73
60763,44,122,78,73
60202,39,116,75,74
62558,42,116,76,73
59872,46,104,73,71
64177,45,117,75,72
61699,40,113,74,79
59837,43,115,77,75
60757,44,112,76,72
59321,40,114,73,75
62375,42,118,83,82
59729,41,115,80,69
57621,41,117,79,79
58847,43,119,77,75
61000,41,111,80,64
61824,49,111,75,73
59717,45,112,74,73
60313,41,118,78,75
63167,51,108,76,73
61305,43,111,73,74
59556,41,112,76,74
58901,43,116,74,75
62236,44,121,75,71
63372,46,110,75,76
58037,44,112,80,70
62500,45,117,76,75
61581,49,115,78,76
58304,49,105,74,69
60605,46,111,81,78
61168,42,115,74,75
60723,46,112,73,72
59164,44,109,78,80
57935,42,110,82,80
57984,43,116,73,74
61115,42,114,77,77
58654,52,112,76,76
60042,43,118,82,72
60208,47,106,72,80
61801,48,116,82,67
57666,46,112,79,70
60990,43,110,73,75
59395,45,109,83,81
61582,46,113,73,70
63514,44,111,76,73
59593,44,108,81,72
58801,41,111,77,75
60950,45,111,74,72
63750,49,116,79,78
60015,40,115,80,71
58958,42,113,76,72
61601,45,128,75,76
59668,47,104,74,71
61446,43,107,73,71
61623,45,111,76,80
62613,45,106,77,76
57680,45,113,77,73
59558,45,105,83,73
59309,43,112,83,76
60381,47,104,77,70
60135,46,114,75,71
63322,47,106,76,67
62105,43,108,80,69
62304,44,116,77,76
61631,46,111,80,75
58544,50,111,75,71
58730,43,117,77,78
59031,46,120,72,73
60157,45,111,72,73
59556,43,113,74,71
61235,49,112,75,75
62041,41,114,75,72
60541,46,108,72,70
61040,46,108,78,68
59015,46,115,73,79
61219,41,124,79,73
58700,45,109,79,71
60455,46,112,76,74
58320,50,114,77,79
61523,40,115,74,73
60729,43,103,73,72
60400,42,111,76,75
62251,47,110,78,73
60332,43,112,71,76
62886,42,110,79,75
58932,45,113,77,73
57578,48,110,75,72
58165,41,109,74,69
62225,47,109,72,71
59706,43,117,82,73
60329,46,104,75,73
57663,48,110,74,67
59245,43,110,75,71
58195,48,104,72,72
58944,45,108,70,71
61917,43,122,75,75
62511,46,104,74,77
60569,44,107,78,69
59305,50,107,80,72
59093,48,111,80,69
61736,47,112,79,68
61348,45,107,78,71
61138,46,110,77,71
60136,46,105,76,74
60316,46,106,77,73
62255,49,107,75,73
58906,46,104,77,74
61323,47,109,76,75
58939,50,109,75,75
60622,44,125,73,72
62202,42,110,77,71
60123,45,103,74,76
59970,44,114,77,76
59093,45,109,78,72
58951,46,115,80,71
59653,46,109,71,71
57634,48,112,74,71
61191,42,119,74,76
61100,47,104,75,71
59516,46,105,79,69
60726,48,109,76,69
58839,46,110,77,79
56446,44,112,77,75
60119,46,110,75,77
61067,46,117,75,72
61010,43,109,75,73
59168,48,108,77,76
59869,48,106,76,76
58399,49,110,69,74
60327,49,104,76,75
61533,42,122,72,73
58562,46,111,76,73
58761,45,113,75,74
59470,46,111,77,71
58453,46,116,77,71
58891,46,106,73,72
59706,44,116,76,73
62307,52,112,80,78
60975,50,108,76,75
59806,45,110,76,74
59167,45,116,76,74
60624,48,115,69,74
62961,51,108,73,74
58715,47,108,75,79
59845,44,115,75,69
59770,46,99,68,72
59655,45,106,74,78
60441,47,112,75,72
57046,47,116,80,72
58963,49,108,74,66
58513,49,109,83,72
59109,43,114,74,70
59267,48,111,79,68
59799,49,112,74,76
59604,46,103,76,68
56254,48,112,74,70
61480,48,112,74,69
61006,43,113,74,69
60044,45,109,81,73
